TICKER,OFTIC,ACTDATS,ESTIMATOR,FPI,MEASURE,VALUE,FPEDATS,ACTTIMS,ANNDATS,ANNDATS_ACT,ANNTIMS_ACT
AAPL,AAPL,20131104,00282,1,EPS,6.3486,20140930,10:52:48,20131104,20141020,16:30:00
AAPL,AAPL,20131105,00085,1,EPS,6.2329,20140930,3:39:57,20131104,20141020,16:30:00
AAPL,AAPL,20131106,02830,1,EPS,5.8657,20140930,7:19:46,20131106,20141020,16:30:00
AAPL,AAPL,20131111,00559,1,EPS,6.1143,20140930,1:47:13,20131111,20141020,16:30:00
AAPL,AAPL,20131114,01951,1,EPS,6.2114,20140930,0:46:37,20131114,20141020,16:30:00
AAPL,AAPL,20131114,03594,1,EPS,6.0414,20140930,14:52:19,20131114,20141020,16:30:00
AAPL,AAPL,20131126,00100,1,EPS,6.7387,20140930,9:52:48,20131126,20141020,16:30:00
AAPL,AAPL,20131203,00085,1,EPS,6.3429,20140930,5:32:33,20131202,20141020,16:30:00
AAPL,AAPL,20131209,02283,1,EPS,6.7157,20140930,0:34:15,20131205,20141020,16:30:00
AAPL,AAPL,20131209,02539,1,EPS,6.1586,20140930,14:11:25,20131206,20141020,16:30:00
AAPL,AAPL,20131209,01989,1,EPS,6.2186,20140930,1:42:52,20131209,20141020,16:30:00
AAPL,AAPL,20131211,01951,1,EPS,6.3143,20140930,23:28:09,20131211,20141020,16:30:00
AAPL,AAPL,20131211,02830,1,EPS,5.9257,20140930,17:02:07,20131211,20141020,16:30:00
AAPL,AAPL,20131216,00930,1,EPS,6.3186,20140930,0:58:41,20131216,20141020,16:30:00
AAPL,AAPL,20131218,02343,1,EPS,6.6443,20140930,17:21:52,20131218,20141020,16:30:00
AAPL,AAPL,20131218,00873,1,EPS,6.5043,20140930,3:53:11,20131218,20141020,16:30:00
AAPL,AAPL,20131219,00898,1,EPS,6.33,20140930,22:37:12,20131219,20141020,16:30:00
AAPL,AAPL,20131223,00228,1,EPS,6.2414,20140930,12:56:31,20131223,20141020,16:30:00
AAPL,AAPL,20131223,00899,1,EPS,6.4643,20140930,15:18:25,20131223,20141020,16:30:00
AAPL,AAPL,20131223,03294,1,EPS,6.2829,20140930,9:36:10,20131223,20141020,16:30:00
AAPL,AAPL,20140107,00100,1,EPS,6.7831,20140930,11:19:59,20140107,20141020,16:30:00
AAPL,AAPL,20140113,01951,1,EPS,6.4071,20140930,23:23:08,20140113,20141020,16:30:00
AAPL,AAPL,20140114,00930,1,EPS,6.29,20140930,7:38:41,20140114,20141020,16:30:00
AAPL,AAPL,20140120,03374,1,EPS,6.2243,20140930,22:47:24,20140120,20141020,16:30:00
AAPL,AAPL,20140121,01267,1,EPS,6.0086,20140930,3:35:14,20140121,20141020,16:30:00
AAPL,AAPL,20140121,02334,1,EPS,6.5171,20140930,11:08:57,20140121,20141020,16:30:00
AAPL,AAPL,20140121,01749,1,EPS,6.3514,20140930,3:00:33,20140121,20141020,16:30:00
AAPL,AAPL,20140122,00118,1,EPS,6.5443,20140930,4:00:31,20140121,20141020,16:30:00
AAPL,AAPL,20140122,02502,1,EPS,6.23,20140930,11:17:43,20140122,20141020,16:30:00
AAPL,AAPL,20140122,03742,1,EPS,6.1757,20140930,11:26:26,20140122,20141020,16:30:00
AAPL,AAPL,20140124,00029,1,EPS,6.2529,20140930,5:49:36,20140123,20141020,16:30:00
AAPL,AAPL,20140124,00468,1,EPS,6.208,20140930,5:36:09,20140124,20141020,16:30:00
AAPL,AAPL,20140128,03138,1,EPS,6.54,20140930,4:02:24,20140127,20141020,16:30:00
AAPL,AAPL,20140128,00085,1,EPS,6.05,20140930,5:15:30,20140127,20141020,16:30:00
AAPL,AAPL,20140128,03037,1,EPS,6.0314,20140930,11:19:20,20140127,20141020,16:30:00
